bd253941.dat	19 42 21.9	+26 06 01	  
bd75325.dat	08 10 49.31	+74 57 57.5 
bd284211.dat	21 51 11.1	+28 51 52
bd332642.dat	15 51 59.86	+32 56 54.8 
bd404032.dat	20 06 40.0	41 06 15  
feige34.dat	10 39 36.7	+43 06 10 
f56.dat   	12 06 47.3	+11 40 13 
feige67.dat 	12 41 51.83	+17 31 20.5
feige110.dat 	23 19 58.4	-05 09 56  
g191b2b.dat	05 05 30.6	+52 49 56 
gd248.dat	23 26 06.69	+16 00 21.4
g19374.dat	07 53 27.4	+52 29 36   
gd71.dat	05 52 27.51	+15 53 16.6
g249.dat	20 13 56.05	+06 42 55.2
g13831.dat	16 27 53.6	+09 12 24
gd108.dat	10 00 47.3	-07 33 31 
h600.dat	06 45 13.5	+02 08 15
hz21.dat	12 13 56.4	+32 56 31   
hz44.dat	13 23 35.37	+36 07 60.0
l1788.dat	03 48 22.2	-39 08 35 
l4364.dat	11 43 36.6	-64 50 24
l7987.dat	20 10 57.1	-30 13 03
l3864.dat	10 32 13.8	-35 37 42
ltt9491.dat	23 19 35.0	-17 05 30
l1020.dat	01 54 49.68	-27 28 29.7
l377.dat	00 41 46.6	-33 39 10
l7379.dat	18 36 26.2	-44 18 37   
l3218.dat	08 41 33.6	-32 56 55
l4816.dat	12 38 50.7	-49 47 58
l9239.dat	22 52 40.9	-20 35 27
