#     name        r           g-r       u-g       r-i      i-z
     Hilt31       10.996     0.587     0.999     0.294     0.147     
   G158100        14.691     0.510     1.101     0.222     0.092    
   BD+710031      10.091     0.260     0.896     0.079     0.007    
   SA92342        11.527     0.257     1.069     0.049    -0.012    
   SA92263        11.467     0.801     2.229     0.307     0.166    
   SA92502        11.712     0.289     1.031     0.078     0.010    
   SA92282        12.936     0.136     1.000     0.021    -0.009    
   SA92288        11.350     0.661     1.768     0.233     0.098    
   SA93317        11.437     0.317     1.068     0.084     0.002    
   SA93333        11.760     0.633     1.742     0.203     0.089    
   SA93424        11.300     0.823     2.410     0.281     0.123    
   Hilt190        10.883     0.640     0.903     0.318     0.224    
   LHS0014         9.481     1.282     2.624     0.934     0.443    
   Hilt233        10.659     0.834     1.134     0.448     0.292    
   Feige22        13.024    -0.333     0.050    -0.303    -0.273    
   SA94242        11.712     0.106     1.157    -0.033    -0.046    
   SA94251        10.803     0.979     2.773     0.373     0.213    
   SA94702        11.116     1.159     3.189     0.459     0.263    
   Ross374        10.646     0.385     1.027     0.141     0.050    
   Ross34         10.530     1.229     2.580     0.530     0.271    
    SA9596        10.071    -0.070     1.142    -0.123    -0.051    
   SA95190        12.593     0.126     1.300     0.002     0.043    
   SA95193        13.844     1.097     2.489     0.407     0.214    
   Hilt404        10.815     0.656     1.034     0.342     0.250    
   SA95218        11.901     0.500     1.442     0.167     0.058    
   SA95132        11.994     0.252     1.481     0.078     0.053    
   SA95142        12.775     0.422     1.272     0.163     0.088    
   SA95149        10.375     1.326     3.181     0.625     0.371    
   SA95236        11.287     0.539     1.414     0.196     0.084    
   BD210607        9.114     0.281     0.894     0.089     0.008    
   BD210910        9.608     0.474     1.364     0.143     0.036    
    SA9636        10.614     0.027     1.196    -0.079    -0.072    
   SA96737        11.275     1.099     2.770     0.492     0.271    
    SA9683        11.793    -0.054     1.237    -0.110    -0.048    
   SA96235        10.820     0.814     2.308     0.288     0.161    
    Ross49        11.163     0.467     1.130     0.162     0.049    
   SA97249        11.567     0.451     1.317     0.141     0.038    
   SA97345        11.005     1.424     3.397     0.640     0.426    
   SA97351         9.813     0.008     1.130  $-$0.074  $-$0.022    
    SA9775        10.783     1.618     3.878     0.756     0.491    
   SA97284        10.299     1.155     2.641     0.521     0.320    
   SA97288        10.718     0.401     1.331     0.106     0.013    
   Hilt566        10.787     0.673     1.125     0.341     0.211    
   LHS1858         9.007     1.374     2.763     0.736     0.365    
   SA98978        10.414     0.407     1.277     0.106     0.013    
   SA98185        10.610    -0.037     1.153    -0.093    -0.057    
   SA98193         9.676     0.903     2.713     0.327     0.190    
   SA98653         9.655    -0.212     0.843    -0.203    -0.114    
   SA98685        11.857     0.287     1.218     0.070    -0.001    
    Ru149F        13.119     0.867     2.469     0.317     0.166    
    Ru149D        11.601    -0.213     0.652    -0.203    -0.136    
    Ru149B        12.474     0.460     1.385     0.141     0.033    
   LHS0033         9.286     1.331     2.839     1.477     0.695    
    Ru152         13.188    -0.355    -0.263    -0.289    -0.252    
   SA99438         9.569    -0.348     0.136    -0.293    -0.220    
   SA99447         9.572    -0.287     0.734    -0.245    -0.161    
   BD750325        9.786    -0.514    -0.508    -0.382    -0.323    
   BD82015        10.194     0.497     1.393     0.173     0.065    
   BD541216        9.586     0.300     0.890     0.107     0.010    
   GCRV5757       10.803     0.403     1.000     0.152     0.048    
  BD251981         9.270     0.144     0.925     0.014    -0.037    
  SA100241        10.204    -0.068     1.165    -0.128    -0.097    
  SA100280        11.689     0.308     1.143     0.084     0.003    
  SA100394        10.932     1.056     2.979     0.419     0.237    
  GCRV5951        11.474     0.346     0.854     0.135     0.029    
 PG0918029D       11.937     0.817     2.227     0.324     0.166    
   BD92190        11.049     0.238     0.902     0.076     0.009    
  BD122918         9.476     1.326     2.817     1.201     0.561    
    Ross889       10.380     0.220     0.875     0.068     0.006    
  SA101315        10.894     0.894     2.490     0.350     0.196    
  SA101316        11.438     0.309     1.152     0.073     0.007    
  SA101207        12.290     0.347     1.085     0.101     0.022    
  G16266          13.227    -0.387    -0.183    -0.354    -0.303    
   Feige34        11.423    -0.508    -0.509    -0.347    -0.265    
  BD292091        10.123     0.366     0.864     0.132     0.040    
 PG1047003A       13.303     0.519     1.385     0.212     0.087    
  Ross106         12.413     0.434     1.028     0.176     0.060    
  SA102620         9.665     0.932     2.464     0.309     0.148    
  G16350          13.266    -0.277     0.215    -0.272    -0.271    
  G16351          11.960     1.315     2.741     1.238     0.567    
  Wolf365         11.135     0.560     1.182     0.237     0.097    
  GCRV7017        11.326     0.517     1.120     0.212     0.080    
  BD213420        10.021     0.322     0.998     0.122     0.036    
  SA103626        11.753     0.246     1.056     0.056    -0.027    
  SA103526        10.575     0.826     2.434     0.293     0.164    
  Ross453         10.971     0.298     0.872     0.101     0.025    
  Feige66         10.747    -0.476    -0.345    -0.367    -0.316    
  SA104428        12.330     0.763     2.153     0.279     0.147    
  SA104598        11.057     0.985     2.481     0.339     0.148    
  Ross484         10.378     0.855     2.000     0.327     0.165    
  LTT5137         11.190     0.455     1.103     0.181     0.063    
  GCRV7951        11.488     0.341     0.876     0.134     0.035    
  PG1323086D      11.928     0.397     1.210     0.132     0.032    
  G1455           10.633     1.325     2.813     1.333     0.615    
  BD302428B       10.239     0.668     1.844     0.223     0.107    
  SA105815        11.366     0.232     0.863     0.076     0.003    
  BD22711         10.548    -0.362     0.166    -0.301    -0.234    
  HD121968        10.425    -0.370    -0.064    -0.318    -0.245    
  Ross838         11.327     0.573     1.277     0.239     0.111    
  BD262606         9.604     0.287     0.870     0.101     0.017    
  GCRV8758        10.954     0.492     1.258     0.176     0.062    
  PG1528062B      11.828     0.419     1.235     0.143     0.036    
  G1524           11.277     0.412     1.035     0.151     0.052    
  SA1071006       11.474     0.578     1.549     0.204     0.090    
  SA107351        12.175     0.396     1.187     0.142     0.048    
  BD332642        10.979    -0.332    -0.018    -0.284    -0.212    
  Ross530         11.319     0.558     1.273     0.229     0.103    
  GCRV9483        11.104     0.527     1.106     0.222     0.082    
  SA108475        10.832     1.130     3.127     0.456     0.270    
  SA108551        10.747    -0.032     1.256    -0.104    -0.051    
  Wolf629         11.129     1.413     3.013     1.466     0.648    
  BD183407         9.765     0.628     1.690     0.227     0.100    
  BD23375          9.809     0.321     0.886     0.123     0.029    
  SA10971         11.475     0.130     1.274     0.010     0.010    
  SA109381        11.514     0.547     1.477     0.223     0.094    
  SA109231         8.825     1.218     3.231     0.502     0.314    
  SA109537        10.201     0.456     1.449     0.191     0.079    
  Hilt733         10.939     0.827     1.102     0.410     0.260    
  Ross711         11.295     0.282     0.837     0.104     0.015    
  SA110232        12.287     0.552     1.390     0.237     0.094    
  SA110340        10.010     0.094     1.228    -0.039    -0.053    
  SA110499        11.399     0.827     2.036     0.473     0.332    
  SA110503        11.625     0.460     1.792     0.222     0.116    
  GJ745A          10.159     1.408     2.848     1.046     0.490    
  GJ745B          10.151     1.401     2.839     1.049     0.488    
  BD353659        10.089     0.333     0.925     0.117     0.022    
  SA111775        10.106     1.491     3.765     0.697     0.421    
  SA1111925       12.345     0.200     1.397     0.061     0.051    
